ID,original_Descrizione Regione,original_Codice Azienda,original_Tipo Azienda,original_Codice struttura,original_Subcodice,original_Denominazione Struttura/Stabilimento,original_Indirizzo,original_Codice Comune,original_Comune,original_Sigla Provincia,original_Codice tipo struttura,original_Descrizione tipo struttura,original_Codice disciplina,original_Descrizione disciplina,original_Tipo di Disciplina,original_N° Reparti,original_Posti letto degenza ordinaria,original_Posti letto degenza a pagamento,original_Posti letto Day Hospital,original_Posti letto Day Surgery,original_Totale posti letto,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level
11,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,62,NEONATOLOGIA,ACUTI,1,2,0,0,0,2,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
12,LAZIO,201,1,120026,,POLO OSPEDALIERO SANTO SPIRITO,LUNGOTEVERE IN SASSIA  1,58091,ROMA,RM,1,Ospedale a gestione diretta,98,DAY SURGERY,ACUTI,1,0,0,0,11,11,41.9007689,12.4627453,"Clandestine – Mordi e fuggi, Lungotevere in Sassia, 1, 00193 Roma Roma, Italia",Clandestine – Mordi e fuggi,1,Lungotevere in Sassia,193,Roma,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
14,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",8,CARDIOLOGIA,ACUTI,1,25,0,0,0,25,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
15,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",9,CHIRURGIA GENERALE,ACUTI,1,53,0,0,0,53,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
16,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",14,CHIRURGIA VASCOLARE,ACUTI,1,6,0,0,0,6,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
17,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",21,GERIATRIA,ACUTI,1,16,0,0,0,16,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
18,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",26,MEDICINA GENERALE,ACUTI,4,122,0,4,0,126,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
19,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",32,NEUROLOGIA,ACUTI,1,13,0,0,0,13,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
20,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",34,OCULISTICA,ACUTI,1,1,0,0,0,1,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
21,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",36,ORTOPEDIA E TRAUMATOLOGIA,ACUTI,1,31,0,0,0,31,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
22,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",37,OSTETRICIA E GINECOLOGIA,ACUTI,1,89,0,0,0,89,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
23,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",38,OTORINOLARINGOIATRIA,ACUTI,1,6,0,0,0,6,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
24,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",39,PEDIATRIA,ACUTI,1,17,0,0,0,17,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
25,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",43,UROLOGIA,ACUTI,1,8,0,0,0,8,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
26,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",49,TERAPIA INTENSIVA,ACUTI,2,12,0,0,0,12,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
27,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",50,UNITA` CORONARICA,ACUTI,1,8,0,0,0,8,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
28,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",51,ASTANTERIA,ACUTI,1,10,0,0,0,10,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
29,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",62,NEONATOLOGIA,ACUTI,1,8,0,0,0,8,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
30,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",64,ONCOLOGIA,ACUTI,1,13,0,8,0,21,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
31,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",73,TERAPIA INTENSIVA NEONATALE,ACUTI,1,12,0,0,0,12,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
32,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",94,TERAPIA SEMI-INTENSIVA,ACUTI,1,8,0,0,0,8,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
33,LAZIO,201,1,120071,,OSPEDALE SAN PIETRO - FBF,VIA CASSIA 600,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",98,DAY SURGERY,ACUTI,1,0,0,0,14,14,41.962334,12.449266,"Via Cassia, 600, 00189 Roma Roma, Italia",,600,Via Cassia,189,Roma,Tor di Quinto,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
34,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",2,DAY HOSPITAL,ACUTI,1,0,0,18,0,18,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
35,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",8,CARDIOLOGIA,ACUTI,1,19,1,0,0,20,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
36,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",9,CHIRURGIA GENERALE,ACUTI,1,31,1,0,0,32,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
37,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",26,MEDICINA GENERALE,ACUTI,2,47,1,0,0,48,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
38,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",32,NEUROLOGIA,ACUTI,1,6,1,0,0,7,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
39,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",34,OCULISTICA,ACUTI,1,1,0,0,0,1,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
40,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",36,ORTOPEDIA E TRAUMATOLOGIA,ACUTI,1,13,1,0,0,14,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
41,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",37,OSTETRICIA E GINECOLOGIA,ACUTI,2,56,0,0,0,56,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
42,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",38,OTORINOLARINGOIATRIA,ACUTI,1,13,1,0,0,14,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
43,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",43,UROLOGIA,ACUTI,1,11,1,0,0,12,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
44,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",49,TERAPIA INTENSIVA,ACUTI,1,12,0,0,0,12,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
45,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",50,UNITA` CORONARICA,ACUTI,1,4,0,0,0,4,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
46,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",51,ASTANTERIA,ACUTI,1,10,0,0,0,10,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
47,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",62,NEONATOLOGIA,ACUTI,1,13,0,0,0,13,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
48,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",64,ONCOLOGIA,ACUTI,1,10,1,0,0,11,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
49,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",73,TERAPIA INTENSIVA NEONATALE,ACUTI,1,12,0,0,0,12,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
50,LAZIO,201,1,120072,,OSPEDALE SAN GIOVANNI CALIBITA - FBF,"VIA PONTE QUATTRO CAPI, 39",58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",98,DAY SURGERY,ACUTI,1,0,0,0,4,4,41.8909123,12.47692577,"Fatebenefratelli, Via di Ponte Quattro Capi, 39, 00186 Roma Roma, Italia",Fatebenefratelli,39,Via di Ponte Quattro Capi,186,,Municipio Roma I,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.81,1,0.9
51,LAZIO,201,1,120073,,OSPEDALE SAN CARLO DI NANCY,VIA AURELIA 275,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",2,DAY HOSPITAL,ACUTI,1,0,0,8,0,8,41.898331,12.439068,"Via Aurelia, 275, 00165 Roma Roma, Italia",,275,Via Aurelia,165,Roma,Aurelio,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
52,LAZIO,201,1,120073,,OSPEDALE SAN CARLO DI NANCY,VIA AURELIA 275,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",7,CARDIOCHIRURGIA,ACUTI,1,0,20,0,0,20,41.898331,12.439068,"Via Aurelia, 275, 00165 Roma Roma, Italia",,275,Via Aurelia,165,Roma,Aurelio,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
53,LAZIO,201,1,120073,,OSPEDALE SAN CARLO DI NANCY,VIA AURELIA 275,58091,ROMA,RM,4,"Ospedale classificato o assimilato ai sensi dell'art. 1, ultimo comma, della Legge 132/1968",8,CARDIOLOGIA,ACUTI,1,0,12,0,0,12,41.898331,12.439068,"Via Aurelia, 275, 00165 Roma Roma, Italia",,275,Via Aurelia,165,Roma,Aurelio,Roma,Roma,RM,Lazio,LAZ,Italia,it,0.9,1,1
